,articles,clean,stemmed,lemmatized,polarity
66,COMMODITIES AT A GLANCE Special issue on strategic battery raw materials,commodities glance special issue strategic battery raw materials,commod glanc special issu strateg batteri raw materi,commodity glance special issue strategic battery raw material,0.06318681318681318
67,” issued in 2020 by the United Nations Conference on Trade and Development explained: ,issued 2020 united nations conference trade development explained,issu 2020 unit nation confer trade develop explain,issued 2020 united nation conference trade development explained,0.0
68,"“Indigenous communities that have lived in the Andean region of Chile, Bolivia and Argentina for centuries must contend with miners for access to communal land and water. The mining industry depends on a large amount of groundwater in one of the driest desert regions in the world to pump out brines from drilled wells. Some estimates show that approximately 1.9 million litres of water is needed to produce a tonne of lithium. In Chile’s Salar de Atacama, lithium and other mining activities consumed 65 per cent of the region’s water. That is having a big impact on local farmers – who grow quinoa and herd llamas – in an area where some communities already must get water driven in from elsewhere.”",indigenous communities lived andean region chile bolivia argentina centuries must contend miners access communal land water mining industry depends large amount groundwater one driest desert regions world pump brines drilled wells estimates show approximately 19 million litres water needed produce tonne lithium chiles salar de atacama lithium mining activities consumed 65 per cent regions water big impact local farmers grow quinoa herd llamas area communities already must get water driven elsewhere,indigen commun live andean region chile bolivia argentina centuri must contend miner access commun land water mine industri depend larg amount groundwat one driest desert region world pump brine drill well estim show approxim 19 million litr water need produc tonn lithium chile salar de atacama lithium mine activ consum 65 per cent region water big impact local farmer grow quinoa herd llama area commun alreadi must get water driven elsewher,indigenous community lived andean region chile bolivia argentina century must contend miner access communal land water mining industry depends large amount groundwater one driest desert region world pump brine drilled well estimate show approximately 19 million litre water needed produce tonne lithium chile salar de atacama lithium mining activity consumed 65 per cent region water big impact local farmer grow quinoa herd llama area community already must get water driven elsewhere,-0.04642857142857144
69,"A 1,000-pound Li-ion EV battery typically also contains about 30 pounds of cobalt. Cobalt ore grades average about 0.1%, so we need to process almost 30,000 pounds of ore to get 30 pounds of cobalt. With 50% of the world’s cobalt reserves, the Democratic Republic of Congo contributes almost two-thirds of global cobalt production. This is causing immense humanitarian abuses. Congo has at least 40,000 children—some as young as 4-years old—working with their parents for less than $2 a day. They are exposed to multiple psychological violations and abuse as well as significant physical risks. Engineer and energy consultant Ronald Stein and Todd Royal, an independent public policy consultant focusing on the geopolitical implications of energy, go into more details in their book ",1000pound liion ev battery typically also contains 30 pounds cobalt cobalt ore grades average 01 need process almost 30000 pounds ore get 30 pounds cobalt 50 worlds cobalt reserves democratic republic congo contributes almost twothirds global cobalt production causing immense humanitarian abuses congo least 40000 childrensome young 4years oldworking parents less 2 day exposed multiple psychological violations abuse well significant physical risks engineer energy consultant ronald stein todd royal independent public policy consultant focusing geopolitical implications energy go details book,1000pound liion ev batteri typic also contain 30 pound cobalt cobalt ore grade averag 01 need process almost 30000 pound ore get 30 pound cobalt 50 world cobalt reserv democrat republ congo contribut almost twothird global cobalt product caus immens humanitarian abus congo least 40000 childrensom young 4year oldwork parent less 2 day expos multipl psycholog violat abus well signific physic risk engin energi consult ronald stein todd royal independ public polici consult focus geopolit implic energi go detail book,1000pound liion ev battery typically also contains 30 pound cobalt cobalt ore grade average 01 need process almost 30000 pound ore get 30 pound cobalt 50 world cobalt reserve democratic republic congo contributes almost twothirds global cobalt production causing immense humanitarian abuse congo least 40000 childrensome young 4years oldworking parent le 2 day exposed multiple psychological violation abuse well significant physical risk engineer energy consultant ronald stein todd royal independent public policy consultant focusing geopolitical implication energy go detail book,-0.01180555555555556
70,Clean Energy Exploitations,clean energy exploitations,clean energi exploit,clean energy exploitation,0.3666666666666667
71, – Helping citizens understand the environmental and humanity abuses that support ‘clean’ energy,helping citizens understand environmental humanity abuses support clean energy,help citizen understand environment human abus support clean energi,helping citizen understand environmental humanity abuse support clean energy,0.3666666666666667
72,”:,,,,0.0
73,"“Cave-in’s, constant exposure to toxic, radioactive water, dust, and dangerous air loaded with cobalt, lead, and uranium with other heavy metals breathed into lungs day-after-day so western citizens can feel good about their Tesla or wind turbine. Cobalt ore is sent to China since one of the larger mines in the Congo is Chinese-owned Congo Dongfang International Mining Company.”",caveins constant exposure toxic radioactive water dust dangerous air loaded cobalt lead uranium heavy metals breathed lungs dayafterday western citizens feel good tesla wind turbine cobalt ore sent china since one larger mines congo chineseowned congo dongfang international mining company,cavein constant exposur toxic radioact water dust danger air load cobalt lead uranium heavi metal breath lung dayafterday western citizen feel good tesla wind turbin cobalt ore sent china sinc one larger mine congo chineseown congo dongfang intern mine compani,caveins constant exposure toxic radioactive water dust dangerous air loaded cobalt lead uranium heavy metal breathed lung dayafterday western citizen feel good tesla wind turbine cobalt ore sent china since one larger mine congo chineseowned congo dongfang international mining company,-0.0142857142857143
74,"A 1,000-pound EV battery also has 110 pounds of graphite. At 10% concentration, 1,100 pounds of ore must be processed for each battery. China is now producing about 70% of the global supply of natural graphite. Villagers living near graphite companies in provinces in Northeast China ",1000pound ev battery also 110 pounds graphite 10 concentration 1100 pounds ore must processed battery china producing 70 global supply natural graphite villagers living near graphite companies provinces northeast china,1000pound ev batteri also 110 pound graphit 10 concentr 1100 pound ore must process batteri china produc 70 global suppli natur graphit villag live near graphit compani provinc northeast china,1000pound ev battery also 110 pound graphite 10 concentration 1100 pound ore must processed battery china producing 70 global supply natural graphite villager living near graphite company province northeast china,0.06666666666666667
75,complain,complain,complain,complain,0.0
76," of “sparkling night air,” crop damage, homes and belongings covered in soot and polluted drinking water.",sparkling night air crop damage homes belongings covered soot polluted drinking water,sparkl night air crop damag home belong cover soot pollut drink water,sparkling night air crop damage home belonging covered soot polluted drinking water,0.0
77,"In his State of the Union address, Biden spoke of promoting “environmental justice” and “expanding fairness.” The president said, “I will be honest with you, as I’ve always promised.”",state union address biden spoke promoting environmental justice expanding fairness president said honest ive always promised,state union address biden spoke promot environment justic expand fair presid said honest ive alway promis,state union address biden spoke promoting environmental justice expanding fairness president said honest ive always promised,0.6
78,Biden must now be honest about electric vehicles. They grossly violate basic environmental justice principles and are anything but fair to the poor of the world who suffer and die so that wealthy western elites can virtue signal with their electric vehicles.,biden must honest electric vehicles grossly violate basic environmental justice principles anything fair poor world suffer die wealthy western elites virtue signal electric vehicles,biden must honest electr vehicl grossli violat basic environment justic principl anyth fair poor world suffer die wealthi western elit virtu signal electr vehicl,biden must honest electric vehicle grossly violate basic environmental justice principle anything fair poor world suffer die wealthy western elite virtue signal electric vehicle,0.19999999999999998
79,"The U.S. Departments of Transportation and Energy today announced nearly $5 billion that will be made available under the new National Electric Vehicle Infrastructure (NEVI) Formula Program established by President Biden’s Bipartisan Infrastructure Law, to build out a national electric vehicle charging network, an important step towards making electric vehicle (EV) charging accessible to all Americans.",us departments transportation energy today announced nearly 5 billion made available new national electric vehicle infrastructure nevi formula program established president bidens bipartisan infrastructure law build national electric vehicle charging network important step towards making electric vehicle ev charging accessible americans,us depart transport energi today announc nearli 5 billion made avail new nation electr vehicl infrastructur nevi formula program establish presid biden bipartisan infrastructur law build nation electr vehicl charg network import step toward make electr vehicl ev charg access american,u department transportation energy today announced nearly 5 billion made available new national electric vehicle infrastructure nevus formula program established president bidens bipartisan infrastructure law build national electric vehicle charging network important step towards making electric vehicle ev charging accessible american,0.23522727272727273
80,"The program will provide nearly $5 billion over five years to help states create a network of EV charging stations along designated Alternative Fuel Corridors, particularly along the Interstate Highway System. The total amount available to states in Fiscal Year 2022 under the NEVI Formula Program is $615 million. States must submit an EV Infrastructure Deployment Plan before they can access these funds. A second, competitive grant program designed to further increase EV charging access in locations throughout the country, including in rural and underserved communities, will be announced later this year.",program provide nearly 5 billion five years help states create network ev charging stations along designated alternative fuel corridors particularly along interstate highway system total amount available states fiscal year 2022 nevi formula program 615 million states must submit ev infrastructure deployment plan access funds second competitive grant program designed increase ev charging access locations throughout country including rural underserved communities announced later year,program provid nearli 5 billion five year help state creat network ev charg station along design altern fuel corridor particularli along interst highway system total amount avail state fiscal year 2022 nevi formula program 615 million state must submit ev infrastructur deploy plan access fund second competit grant program design increas ev charg access locat throughout countri includ rural underserv commun announc later year,program provide nearly 5 billion five year help state create network ev charging station along designated alternative fuel corridor particularly along interstate highway system total amount available state fiscal year 2022 nevus formula program 615 million state must submit ev infrastructure deployment plan access fund second competitive grant program designed increase ev charging access location throughout country including rural underserved community announced later year,0.09523809523809525
81,"“We are modernizing America’s national highway system for drivers in cities large and small, towns and rural communities, to take advantage of the benefits of driving electric,” said ",modernizing americas national highway system drivers cities large small towns rural communities take advantage benefits driving electric said,modern america nation highway system driver citi larg small town rural commun take advantag benefit drive electr said,modernizing america national highway system driver city large small town rural community take advantage benefit driving electric said,-0.01190476190476191
82,". “The Bipartisan Infrastructure Law is helping states to make electric vehicle charging more accessible by building the necessary infrastructure for drivers across America to save money and go the distance, from coast-to-coast.”",bipartisan infrastructure law helping states make electric vehicle charging accessible building necessary infrastructure drivers across america save money go distance coasttocoast,bipartisan infrastructur law help state make electr vehicl charg access build necessari infrastructur driver across america save money go distanc coasttocoast,bipartisan infrastructure law helping state make electric vehicle charging accessible building necessary infrastructure driver across america save money go distance coasttocoast,0.1875
83,"“A century ago, America ushered in the modern automotive era; now America must lead the electric vehicle revolution,” said ",century ago america ushered modern automotive era america must lead electric vehicle revolution said,centuri ago america usher modern automot era america must lead electr vehicl revolut said,century ago america ushered modern automotive era america must lead electric vehicle revolution said,0.2
84,". “The President’s Bipartisan Infrastructure Law will help us win the EV race by working with states, labor, and the private sector to deploy a historic nationwide charging network that will make EV charging accessible for more Americans.”",presidents bipartisan infrastructure law help us win ev race working states labor private sector deploy historic nationwide charging network make ev charging accessible americans,presid bipartisan infrastructur law help us win ev race work state labor privat sector deploy histor nationwid charg network make ev charg access american,president bipartisan infrastructure law help u win ev race working state labor private sector deploy historic nationwide charging network make ev charging accessible american,0.23500000000000001
85,"Today’s news follows President Biden’s announcement earlier this week on EV manufacturing, and the ",todays news follows president bidens announcement earlier week ev manufacturing,today news follow presid biden announc earlier week ev manufactur,today news follows president bidens announcement earlier week ev manufacturing,0.0
86, on actions taken to date to prepare for this historic EV investment.,actions taken date prepare historic ev investment,action taken date prepar histor ev invest,action taken date prepare historic ev investment,0.05
87,"To access these new Bipartisan Infrastructure Law funds – and to help ensure a convenient, reliable, affordable, and equitable charging experience for all users – each state is required to submit an EV Infrastructure Deployment Plan to the new Joint Office of Energy and Transportation that describes how the state intends to use its share of NEVI Formula Program funds consistent with Federal Highway Administration (FHWA) guidance.",access new bipartisan infrastructure law funds help ensure convenient reliable affordable equitable charging experience users state required submit ev infrastructure deployment plan new joint office energy transportation describes state intends use share nevi formula program funds consistent federal highway administration fhwa guidance,access new bipartisan infrastructur law fund help ensur conveni reliabl afford equit charg experi user state requir submit ev infrastructur deploy plan new joint offic energi transport describ state intend use share nevi formula program fund consist feder highway administr fhwa guidanc,access new bipartisan infrastructure law fund help ensure convenient reliable affordable equitable charging experience user state required submit ev infrastructure deployment plan new joint office energy transportation describes state intends use share nevus formula program fund consistent federal highway administration fhwa guidance,0.17424242424242423
88,These plans are expected to build on ,plans expected build,plan expect build,plan expected build,-0.1
89," that nearly every state has designated over the past six years of this program. These corridors will be the spine of the new national EV charging network. The Joint Office will play a key role in the implementation of the NEVI Formula Program by providing direct technical assistance and support to help states develop their plans before they are reviewed and approved by the Federal Highway Administration, which administers the funding.",nearly every state designated past six years program corridors spine new national ev charging network joint office play key role implementation nevi formula program providing direct technical assistance support help states develop plans reviewed approved federal highway administration administers funding,nearli everi state design past six year program corridor spine new nation ev charg network joint offic play key role implement nevi formula program provid direct technic assist support help state develop plan review approv feder highway administr administ fund,nearly every state designated past six year program corridor spine new national ev charging network joint office play key role implementation nevus formula program providing direct technical assistance support help state develop plan reviewed approved federal highway administration administers funding,0.014393939393939395
90,"“Americans need to know that they can purchase an electric vehicle and find convenient charging stations when they are using Interstates and other major highways,” Deputy Federal Highway Administrator Stephanie Pollack said. “The new EV formula program will provide states with the resources they need to provide their residents with reliable access to an EV charging station as they travel.”",americans need know purchase electric vehicle find convenient charging stations using interstates major highways deputy federal highway administrator stephanie pollack said new ev formula program provide states resources need provide residents reliable access ev charging station travel,american need know purchas electr vehicl find conveni charg station use interst major highway deputi feder highway administr stephani pollack said new ev formula program provid state resourc need provid resid reliabl access ev charg station travel,american need know purchase electric vehicle find convenient charging station using interstate major highway deputy federal highway administrator stephanie pollack said new ev formula program provide state resource need provide resident reliable access ev charging station travel,0.06628787878787878
91,The new Joint Office of Energy and Transportation also launched a new website this week at ,new joint office energy transportation also launched new website week,new joint offic energi transport also launch new websit week,new joint office energy transportation also launched new website week,0.13636363636363635
92,". There, officials can find links to technical assistance, data and tools for states, and careers. To join the Joint Office and support a future where everyone can ride and drive electric, individuals are encouraged to ",officials find links technical assistance data tools states careers join joint office support future everyone ride drive electric individuals encouraged,offici find link technic assist data tool state career join joint offic support futur everyon ride drive electr individu encourag,official find link technical assistance data tool state career join joint office support future everyone ride drive electric individual encouraged,0.0
93, to be an EV charging fellow.,ev charging fellow,ev charg fellow,ev charging fellow,0.0
94,"As part of today’s announcement, FHWA released the NEVI Formula Program funding to states that will be available following approval of state plans for ",part todays announcement fhwa released nevi formula program funding states available following approval state plans,part today announc fhwa releas nevi formula program fund state avail follow approv state plan,part today announcement fhwa released nevus formula program funding state available following approval state plan,0.2
95, in addition to the ,addition,addit,addition,0.0
96, and a ,,,,0.0
97, for states to expand their existing Alternative Fuel Corridors. Here is ,states expand existing alternative fuel corridors,state expand exist altern fuel corridor,state expand existing alternative fuel corridor,0.0
98,.,,,,0.0
99,###,,,,0.0
100,"The Biden administration today released a road map for building out a national network of 500,000 electric vehicle charging stations as part of its plan to combat climate change. ",biden administration today released road map building national network 500000 electric vehicle charging stations part plan combat climate change,biden administr today releas road map build nation network 500000 electr vehicl charg station part plan combat climat chang,biden administration today released road map building national network 500000 electric vehicle charging station part plan combat climate change,0.0
101,"The $1.2 trillion infrastructure package President Biden signed into law last month authorized the charging network, allocating $5 billion for state Transportation Departments to support the expansion. An additional $2.5 billion is also available in grant opportunities to help connect rural and marginalized communities to electric vehicles. ",12 trillion infrastructure package president biden signed law last month authorized charging network allocating 5 billion state transportation departments support expansion additional 25 billion also available grant opportunities help connect rural marginalized communities electric vehicles,12 trillion infrastructur packag presid biden sign law last month author charg network alloc 5 billion state transport depart support expans addit 25 billion also avail grant opportun help connect rural margin commun electr vehicl,12 trillion infrastructure package president biden signed law last month authorized charging network allocating 5 billion state transportation department support expansion additional 25 billion also available grant opportunity help connect rural marginalized community electric vehicle,0.13333333333333333
102,"“The science is clear. Climate change has become a climate crisis, and it demands urgent action,” Vice President Kamala Harris said at an event today in Brandywine, Md., announcing the blueprint. ",science clear climate change become climate crisis demands urgent action vice president kamala harris said event today brandywine md announcing blueprint,scienc clear climat chang becom climat crisi demand urgent action vice presid kamala harri said event today brandywin md announc blueprint,science clear climate change become climate crisis demand urgent action vice president kamala harris said event today brandywine md announcing blueprint,0.1
103,"“And one important way we achieve net-zero emissions is by investing in zero-emission vehicles,” she said. ",one important way achieve netzero emissions investing zeroemission vehicles said,one import way achiev netzero emiss invest zeroemiss vehicl said,one important way achieve netzero emission investing zeroemission vehicle said,0.4
104,The administration’s EV-charging ,administrations evcharging,administr evcharg,administration evcharging,0.0
105, establishes a joint electric vehicle office between the Transportation and Energy departments charged with overseeing the effort. ,establishes joint electric vehicle office transportation energy departments charged overseeing effort,establish joint electr vehicl offic transport energi depart charg overse effort,establishes joint electric vehicle office transportation energy department charged overseeing effort,0.0
106,Energy Secretary Jennifer Granholm and Transportation Secretary Pete Buttigieg are expected to sign tomorrow an agreement authorizing their offices to leverage resources to expand EV infrastructure across the country. ,energy secretary jennifer granholm transportation secretary pete buttigieg expected sign tomorrow agreement authorizing offices leverage resources expand ev infrastructure across country,energi secretari jennif granholm transport secretari pete buttigieg expect sign tomorrow agreement author offic leverag resourc expand ev infrastructur across countri,energy secretary jennifer granholm transportation secretary pete buttigieg expected sign tomorrow agreement authorizing office leverage resource expand ev infrastructure across country,-0.1
107,"The White House is also working to issue guidance to states and consult with manufacturers, local governments, environmental justice groups and tribes, among other stakeholders. ",white house also working issue guidance states consult manufacturers local governments environmental justice groups tribes among stakeholders,white hous also work issu guidanc state consult manufactur local govern environment justic group tribe among stakehold,white house also working issue guidance state consult manufacturer local government environmental justice group tribe among stakeholder,0.0
108,"Accelerating the adoption of electric vehicles will aid the administration in reaching its goal of net-zero emissions economywide by midcentury while creating thousands of living-wage jobs, the White House said. ",accelerating adoption electric vehicles aid administration reaching goal netzero emissions economywide midcentury creating thousands livingwage jobs white house said,acceler adopt electr vehicl aid administr reach goal netzero emiss economywid midcenturi creat thousand livingwag job white hous said,accelerating adoption electric vehicle aid administration reaching goal netzero emission economywide midcentury creating thousand livingwage job white house said,0.0
109,"Biden set a goal this summer that half of all new car and truck sales be electric by 2030. Most major automakers have signaled their support for the effort, pouring billions of dollars into developing new electric models. ",biden set goal summer half new car truck sales electric 2030 major automakers signaled support effort pouring billions dollars developing new electric models,biden set goal summer half new car truck sale electr 2030 major automak signal support effort pour billion dollar develop new electr model,biden set goal summer half new car truck sale electric 2030 major automaker signaled support effort pouring billion dollar developing new electric model,0.04214015151515151
110,"“The auto industry is clearly moving toward electric. We need to make the shift faster and make sure it is driven by the United States,” Harris said at the maintenance facility in Brandywine. ",auto industry clearly moving toward electric need make shift faster make sure driven united states harris said maintenance facility brandywine,auto industri clearli move toward electr need make shift faster make sure driven unit state harri said mainten facil brandywin,auto industry clearly moving toward electric need make shift faster make sure driven united state harris said maintenance facility brandywine,0.3
111,"“That means manufacturing millions of electric cars, trucks and buses right here in our country,"" she said. ""And it means installing a national network of EV chargers.” ",means manufacturing millions electric cars trucks buses right country said means installing national network ev chargers,mean manufactur million electr car truck buse right countri said mean instal nation network ev charger,mean manufacturing million electric car truck bus right country said mean installing national network ev charger,-0.1130952380952381
112,"Harris said the bipartisan infrastructure package, which also allocates funding to build out the North American EV battery supply chain, is a good first step. But she renewed her call for Senate Democrats to advance Biden’s $1.7 trillion climate and social spending bill, which the House advanced last month. ",harris said bipartisan infrastructure package also allocates funding build north american ev battery supply chain good first step renewed call senate democrats advance bidens 17 trillion climate social spending bill house advanced last month,harri said bipartisan infrastructur packag also alloc fund build north american ev batteri suppli chain good first step renew call senat democrat advanc biden 17 trillion climat social spend bill hous advanc last month,harris said bipartisan infrastructure package also allocates funding build north american ev battery supply chain good first step renewed call senate democrat advance bidens 17 trillion climate social spending bill house advanced last month,0.23055555555555554
113,"The ""Build Back Better Act"" offers up to $12,500 in incentives for electric vehicles made in the United States by unionized workforces. ",build back better act offers 12500 incentives electric vehicles made united states unionized workforces,build back better act offer 12500 incent electr vehicl made unit state union workforc,build back better act offer 12500 incentive electric vehicle made united state unionized workforce,0.25
114,"“We want more families in America to be able to afford an electric car that is made in America,” she said. “The future of transportation is electric. But that future is not inevitable. It must be built.” ",want families america able afford electric car made america said future transportation electric future inevitable must built,want famili america abl afford electr car made america said futur transport electr futur inevit must built,want family america able afford electric car made america said future transportation electric future inevitable must built,0.125
115,"To that end, the administration last week announced a plan to electrify the federal government’s fleet of 600,000 vehicles (",end administration last week announced plan electrify federal governments fleet 600000 vehicles,end administr last week announc plan electrifi feder govern fleet 600000 vehicl,end administration last week announced plan electrify federal government fleet 600000 vehicle,0.0
116,", Dec. 9). ",dec 9,dec 9,dec 9,0.0
117,The Biden administration on Monday ,biden administration monday,biden administr monday,biden administration monday,0.0
118," a new $3.16 billion investment in American production of electric car batteries, part of the president’s broader plan to expand the manufacturing of electric vehicles and charging networks and reduce U.S. reliance on oil.",new 316 billion investment american production electric car batteries part presidents broader plan expand manufacturing electric vehicles charging networks reduce us reliance oil,new 316 billion invest american product electr car batteri part presid broader plan expand manufactur electr vehicl charg network reduc us relianc oil,new 316 billion investment american production electric car battery part president broader plan expand manufacturing electric vehicle charging network reduce u reliance oil,0.06818181818181818
119,"The money will come from the Bipartisan Infrastructure Law signed in late 2021, which included $7 billion to strengthen the U.S. battery supply chain and $7.5 billion to build out the EV charging network across the United States.",money come bipartisan infrastructure law signed late 2021 included 7 billion strengthen us battery supply chain 75 billion build ev charging network across united states,money come bipartisan infrastructur law sign late 2021 includ 7 billion strengthen us batteri suppli chain 75 billion build ev charg network across unit state,money come bipartisan infrastructure law signed late 2021 included 7 billion strengthen u battery supply chain 75 billion build ev charging network across united state,-0.3
120,"“The future is electric,” said infrastructure law coordinator Mitch Landrieu. “This is both going to help us fight against climate change, [and] it's also going to make us more secure and energy independent.”",future electric said infrastructure law coordinator mitch landrieu going help us fight climate change also going make us secure energy independent,futur electr said infrastructur law coordin mitch landrieu go help us fight climat chang also go make us secur energi independ,future electric said infrastructure law coordinator mitch landrieu going help u fight climate change also going make u secure energy independent,0.13333333333333333
121,President Joe Biden has set a goal to have electric vehicles be 50% of car sales by 2030.,president joe biden set goal electric vehicles 50 car sales 2030,presid joe biden set goal electr vehicl 50 car sale 2030,president joe biden set goal electric vehicle 50 car sale 2030,0.0
122,"The $3.16 billion announced Monday is set aside for grants to domestic companies who work on battery manufacturing, processing and recycling. ",316 billion announced monday set aside grants domestic companies work battery manufacturing processing recycling,316 billion announc monday set asid grant domest compani work batteri manufactur process recycl,316 billion announced monday set aside grant domestic company work battery manufacturing processing recycling,0.0
123,It comes as the price of gas has remained high and energy prices have surged due to the Russian invasion into Ukraine and resulting sanctions on Russian oil.,comes price gas remained high energy prices surged due russian invasion ukraine resulting sanctions russian oil,come price ga remain high energi price surg due russian invas ukrain result sanction russian oil,come price gas remained high energy price surged due russian invasion ukraine resulting sanction russian oil,0.00875
124,"The Department of Energy officially unveiled the funding Monday, which they described as part of a ""whole-of-government supply chain strategy to strengthen America’s energy independence to reduce our reliance on competing nations.""",department energy officially unveiled funding monday described part wholeofgovernment supply chain strategy strengthen americas energy independence reduce reliance competing nations,depart energi offici unveil fund monday describ part wholeofgovern suppli chain strategi strengthen america energi independ reduc relianc compet nation,department energy officially unveiled funding monday described part wholeofgovernment supply chain strategy strengthen america energy independence reduce reliance competing nation,0.0
125,An energy official on Monday estimated the new funding will be broken up into about 30 grants.,energy official monday estimated new funding broken 30 grants,energi offici monday estim new fund broken 30 grant,energy official monday estimated new funding broken 30 grant,-0.13181818181818183
126,"“This is an effort to try to help seed dozens of companies across the United States to build capacity in a way that we have not done in decades,” said Brian Deese, director of the National Economic Council, on a call with reporters Monday.",effort try help seed dozens companies across united states build capacity way done decades said brian deese director national economic council call reporters monday,effort tri help seed dozen compani across unit state build capac way done decad said brian dees director nation econom council call report monday,effort try help seed dozen company across united state build capacity way done decade said brian deese director national economic council call reporter monday,0.2
127,"One key element of battery manufacturing is the domestic sourcing of critical materials such as lithium, cobalt, nickel and graphite, officials said, an industry currently dominated by China.",one key element battery manufacturing domestic sourcing critical materials lithium cobalt nickel graphite officials said industry currently dominated china,one key element batteri manufactur domest sourc critic materi lithium cobalt nickel graphit offici said industri current domin china,one key element battery manufacturing domestic sourcing critical material lithium cobalt nickel graphite official said industry currently dominated china,0.0
128,The president signed ,president signed,presid sign,president signed,0.0
129," in February to boost U.S. mining of critical materials. And as part of its supplemental funding request for the war in Ukraine, the White House ",february boost us mining critical materials part supplemental funding request war ukraine white house,februari boost us mine critic materi part supplement fund request war ukrain white hous,february boost u mining critical material part supplemental funding request war ukraine white house,0.0
130,last week to fund a similar effort that would use Defense Production Act authority.,last week fund similar effort would use defense production act authority,last week fund similar effort would use defens product act author,last week fund similar effort would use defense production act authority,0.0
131,"Biden had traveled to North Carolina last month to call for Congress to boost domestic manufacturing, highlighting an announcement from Toyota that it will build an electric battery plant in Greensboro. It will create an estimated 1,750 jobs.",biden traveled north carolina last month call congress boost domestic manufacturing highlighting announcement toyota build electric battery plant greensboro create estimated 1750 jobs,biden travel north carolina last month call congress boost domest manufactur highlight announc toyota build electr batteri plant greensboro creat estim 1750 job,biden traveled north carolina last month call congress boost domestic manufacturing highlighting announcement toyota build electric battery plant greensboro create estimated 1750 job,0.0
132,"“A major fundamental shift is taking place,” Biden said at North Carolina Agricultural and Technical State University. “And America is finally deciding to catch up and lead it instead of being outpaced by China and other countries.”",major fundamental shift taking place biden said north carolina agricultural technical state university america finally deciding catch lead instead outpaced china countries,major fundament shift take place biden said north carolina agricultur technic state univers america final decid catch lead instead outpac china countri,major fundamental shift taking place biden said north carolina agricultural technical state university america finally deciding catch lead instead outpaced china country,0.020833333333333332
133,"President Joe Biden was at the Detroit Auto Show on Wednesday to announce the NEVI funding approvals and test drive new vehicles. He vowed ""the great American road trip ",president joe biden detroit auto show wednesday announce nevi funding approvals test drive new vehicles vowed great american road trip,presid joe biden detroit auto show wednesday announc nevi fund approv test drive new vehicl vow great american road trip,president joe biden detroit auto show wednesday announce nevus funding approval test drive new vehicle vowed great american road trip,0.31212121212121213
134,"The president has set a goal for half of new U.S. car sales to be electric by 2030. Experts say achieving that level of EV adoption will require expanding domestic battery production capacity, in part due to purchasing requirements tied to federal incentives.",president set goal half new us car sales electric 2030 experts say achieving level ev adoption require expanding domestic battery production capacity part due purchasing requirements tied federal incentives,presid set goal half new us car sale electr 2030 expert say achiev level ev adopt requir expand domest batteri product capac part due purchas requir tie feder incent,president set goal half new u car sale electric 2030 expert say achieving level ev adoption require expanding domestic battery production capacity part due purchasing requirement tied federal incentive,-0.038825757575757576
135,"The Federal Highway Administration has said it is working to develop rules for how formula NEVI funds can be spent, and indicated it ",federal highway administration said working develop rules formula nevi funds spent indicated,feder highway administr said work develop rule formula nevi fund spent indic,federal highway administration said working develop rule formula nevus fund spent indicated,-0.1
136,"” The rules would set standards for the national charging network, and the agency said it is considering a waiver from domestic purchase requirements “that will allow a short ramp up period for the domestic manufacturing of EV charging.”",rules would set standards national charging network agency said considering waiver domestic purchase requirements allow short ramp period domestic manufacturing ev charging,rule would set standard nation charg network agenc said consid waiver domest purchas requir allow short ramp period domest manufactur ev charg,rule would set standard national charging network agency said considering waiver domestic purchase requirement allow short ramp period domestic manufacturing ev charging,0.0
137,"Global battery production is now dominated by China, but U.S. automakers are working quickly to onshore that industry. EV purchase incentives also hinge on components manufactured in the U.S.",global battery production dominated china us automakers working quickly onshore industry ev purchase incentives also hinge components manufactured us,global batteri product domin china us automak work quickli onshor industri ev purchas incent also hing compon manufactur us,global battery production dominated china u automaker working quickly onshore industry ev purchase incentive also hinge component manufactured u,0.16666666666666666
138,"Ford is building three new battery plants in the U.S. with a total capacity of 129 GWh, and production is expected to start by 2025.",ford building three new battery plants us total capacity 129 gwh production expected start 2025,ford build three new batteri plant us total capac 129 gwh product expect start 2025,ford building three new battery plant u total capacity 129 gwh production expected start 2025,0.012121212121212116
139,"“Our next generation of EVs are coming, leveraging advances in cell chemistry, battery pack design and battery management software,” Charles Poon, Ford’s global director of electrified systems engineering, said Wednesday at the Novi Battery Show, outside of Detroit.",next generation evs coming leveraging advances cell chemistry battery pack design battery management software charles poon fords global director electrified systems engineering said wednesday novi battery show outside detroit,next gener ev come leverag advanc cell chemistri batteri pack design batteri manag softwar charl poon ford global director electrifi system engin said wednesday novi batteri show outsid detroit,next generation ev coming leveraging advance cell chemistry battery pack design battery management software charles poon ford global director electrified system engineering said wednesday novi battery show outside detroit,0.0
140,"The conference is hosted by Informa, which recently purchased Industry Dive.",conference hosted informa recently purchased industry dive,confer host informa recent purchas industri dive,conference hosted informa recently purchased industry dive,0.0
141,"Poon said Ford plans to deliver 2 million EVs by 2026, but added that its strategy depends the development of sustainable supply chains, including recycling battery materials.",poon said ford plans deliver 2 million evs 2026 added strategy depends development sustainable supply chains including recycling battery materials,poon said ford plan deliv 2 million ev 2026 ad strategi depend develop sustain suppli chain includ recycl batteri materi,poon said ford plan deliver 2 million ev 2026 added strategy depends development sustainable supply chain including recycling battery material,0.0
